Run time (s),Round,Exception,deadline,Agreement,Discounted,#agreeing,min.util.,max.util.,Dist. to Pareto,Dist. to Nash,Social Welfare,Agent 1,Agent 2,Agent 3,Utility 1,Utility 2,Utility 3,Disc. Util. 1,Disc. Util. 2,Disc. Util. 3,Profile 1,Profile 2,Profile 3
0.088,2,,1rounds,No,No,1,0,0,1.12099,1.34119,0,ClockworkAgent@0,GrandmaAgent@1,GrandmaAgent@2,0,0,0,0,0,0,party3_utility.xml,party8_utility.xml,party9_utility.xml
0.005,2,,1rounds,No,No,1,0,0,1.25319,1.53476,0,Farma@3,GrandmaAgent@4,MyAgent@5,0,0,0,0,0,0,party3_utility.xml,party4_utility.xml,party9_utility.xml
0.013,2,,1rounds,No,No,1,0,0,1.51949,1.56504,0,MyAgent@6,MyAgent@7,GrandmaAgent@8,0,0,0,0,0,0,party1_utility.xml,party7_utility.xml,party9_utility.xml
0.019,2,,1rounds,No,No,1,0,0,1.17887,1.43306,0,ClockworkAgent@9,MyAgent@10,Caduceus@11,0,0,0,0,0,0,party1_utility.xml,party3_utility.xml,party5_utility.xml
0.012,2,,1rounds,No,No,1,0,0,1.35924,1.55793,0,Farma@12,ClockworkAgent@13,MyAgent@14,0,0,0,0,0,0,party1_utility.xml,party4_utility.xml,party6_utility.xml
0.022,2,,1rounds,No,No,1,0,0,1.25505,1.34619,0,Caduceus@15,ClockworkAgent@16,Caduceus@17,0,0,0,0,0,0,party2_utility.xml,party3_utility.xml,party4_utility.xml
0.012,2,,1rounds,No,No,1,0,0,1.15634,1.42239,0,ClockworkAgent@18,MyAgent@19,MyAgent@20,0,0,0,0,0,0,party1_utility.xml,party3_utility.xml,party9_utility.xml
0.006,2,,1rounds,No,No,1,0,0,1.18465,1.46991,0,Farma@21,MyAgent@22,GrandmaAgent@23,0,0,0,0,0,0,party2_utility.xml,party5_utility.xml,party9_utility.xml
0.024,2,,1rounds,No,No,1,0,0,1.51949,1.56504,0,Caduceus@24,ClockworkAgent@25,Caduceus@26,0,0,0,0,0,0,party1_utility.xml,party7_utility.xml,party9_utility.xml
0.011,2,,1rounds,No,No,1,0,0,1.22989,1.46428,0,Farma@27,Caduceus@28,Caduceus@29,0,0,0,0,0,0,party1_utility.xml,party3_utility.xml,party6_utility.xml
